Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),Yaw (deg),Pitch (deg),Roll (deg),Velocity X (m/s),Velocity Y (m/s),Velocity Z (m/s),Accel. X (m/s^2),Accel. Y (m/s^2),Accel. Z (m/s^2),GPS TOW,GPS Week Number
538400,361363.490383185,-5822271.713204997,-5048878.166725975,150.4694937481702,0.1326562303082335,0,3182.230678852648,4173.453957773745,-4584.216183051467,0.2934830263257027,4.557427018880844,4.383735358715057,259720.400,2296
538500,361681.7149356795,-5821854.345015259,-5049336.566430882,150.4667306234651,0.1326551345511604,0,3182.260366040282,4173.909828532487,-4583.777904044837,0.3004679456353188,4.566041752696037,4.375120624899864,259720.500,2296
538600,361999.9424552214,-5821436.931240464,-5049794.922305841,150.4639668491076,0.1326540828890498,0,3182.290021446534,4174.365654587746,-4583.339579869062,0.3018067218363285,4.560919478535652,4.379311576485634,259720.600,2296
538700,362318.1729397229,-5821019.471884287,-5050253.23434684,150.4612026242915,0.132652984392475,0,3182.31965682935,4174.821451306343,-4582.90122076869,0.3033201210200787,4.562549293041229,4.377914592623711,259720.700,2296
538800,362636.406387107,-5820601.966950361,-5050711.502549917,150.4584377464077,0.1326518756789898,0,3182.349286158569,4175.277223810554,-4582.46283698827,0.3013992682099342,4.563946276903152,4.377448931336403,259720.800,2296
538900,362954.6427952852,-5820184.416442332,-5051169.726911084,150.4556722745997,0.1326507771963077,0,3182.378883939236,4175.732946489006,-4582.024397328496,0.2994202077388763,4.561617970466614,4.380010068416595,259720.900,2296
539000,363272.8821621786,-5819766.820363846,-5051627.907426363,150.4529062273561,0.1326496767176728,0,3182.408456807025,4176.188629120588,-4581.585914362222,0.2965680323541164,4.560453817248344,4.380242899060249,259721.000,2296
539100,363591.1244857037,-5819349.17871855,-5052086.044091774,150.4501395780357,0.1326485752302142,0,3182.438022806309,4176.644283812493,-4581.147402524948,0.2891174517571926,4.552071914076805,4.389788955450058,259721.100,2296
539200,363909.3697637692,-5818931.491510089,-5052544.136903342,150.4473722626423,0.1326474493547631,0,3182.467554463074,4177.099894266576,-4580.70883853361,0.2935994416475296,4.55114059150219,4.391185939311981,259721.200,2296
539300,364227.6179943206,-5818513.758742101,-5053002.185857093,150.4446045207213,0.1326463281229026,0,3182.49706318602,4177.555469796062,-4580.270241014659,0.2923188731074333,4.54997643828392,4.393048584461212,259721.300,2296
539400,364545.8691752537,-5818095.980418248,-5053460.190949038,150.4418361060434,0.1326451925424815,0,3182.526551303454,4178.011004347354,-4579.831595532596,0.2931337803602219,4.553468897938728,4.388857632875443,259721.400,2296
539500,364864.1233045007,-5817678.156542159,-5053918.152175214,150.4390670988039,0.1326440791536513,0,3182.556024985388,4178.466509561986,-4579.392919316888,0.2863816916942596,4.548346623778343,4.394678398966789,259721.500,2296
539600,365182.3803799793,-5817260.287117483,-5054376.069531647,150.4362975086515,0.132642928953234,0,3182.585479458794,4178.921974264085,-4578.954198863357,0.2827146090567112,4.544388502836227,4.399567842483521,259721.600,2296
