datetime_gps,dR_m,dT_m,dN_m,d3_m
2024-01-10T00:01:41.500000,-3024.69088,-71495.49410,11925.05928,72546.27124
2024-01-10T00:01:42.500000,-3024.08806,-71491.95823,11920.97248,72542.08974
2024-01-10T00:01:43.500000,-3023.48268,-71488.41729,11916.87324,72537.90128
2024-01-10T00:01:44.500000,-3022.87473,-71484.87128,11912.76158,72533.70584
2024-01-10T00:01:45.500000,-3022.26421,-71481.32021,11908.63749,72529.50343
2024-01-10T00:01:46.500000,-3021.65114,-71477.76408,11904.50096,72525.29405
2024-01-10T00:01:47.500000,-3021.03550,-71474.20288,11900.35200,72521.07769
2024-01-10T00:01:48.500000,-3020.41730,-71470.63661,11896.19059,72516.85437
2024-01-10T00:01:49.500000,-3019.79654,-71467.06527,11892.01672,72512.62408
2024-01-10T00:01:50.500000,-3019.17321,-71463.48883,11887.83063,72508.38682
2024-01-10T00:01:51.500000,-3018.54732,-71459.90736,11883.63178,72504.14259
2024-01-10T00:01:52.500000,-3017.91889,-71456.32083,11879.42044,72499.89139
2024-01-10T00:01:53.500000,-3017.28791,-71452.72923,11875.19661,72495.63321
2024-01-10T00:01:54.500000,-3016.65440,-71449.13255,11870.96027,72491.36806
2024-01-10T00:01:55.500000,-3016.01836,-71445.53080,11866.71143,72487.09594
2024-01-10T00:01:56.500000,-3015.37981,-71441.92397,11862.45010,72482.81684
2024-01-10T00:01:57.500000,-3014.73875,-71438.31205,11858.17626,72478.53077
2024-01-10T00:01:58.500000,-3014.09518,-71434.69506,11853.88994,72474.23773
2024-01-10T00:01:59.500000,-3013.44913,-71431.07298,11849.59113,72469.93771
2024-01-10T00:02:00.500000,-3012.80059,-71427.44584,11845.27958,72465.63072
2024-01-10T00:02:01.500000,-3012.14959,-71423.81357,11840.95585,72461.31675
2024-01-10T00:02:02.500000,-3011.49612,-71420.17620,11836.61967,72456.99581
2024-01-10T00:02:03.500000,-3010.84017,-71416.53375,11832.27103,72452.66792
2024-01-10T00:02:04.500000,-3010.18176,-71412.88621,11827.90993,72448.33307
2024-01-10T00:02:05.500000,-3009.52090,-71409.23360,11823.53637,72443.99127
2024-01-10T00:02:06.500000,-3008.85758,-71405.57591,11819.15035,72439.64253
2024-01-10T00:02:07.500000,-3008.19180,-71401.91315,11814.75185,72435.28684
2024-01-10T00:02:08.500000,-3007.52359,-71398.24531,11810.34089,72430.92422
2024-01-10T00:02:09.500000,-3006.85293,-71394.57241,11805.91743,72426.55467
2024-01-10T00:02:10.500000,-3006.17983,-71390.89443,11801.48172,72422.17820
2024-01-10T00:02:11.500000,-3005.50429,-71387.21144,11797.03323,72417.79481
2024-01-10T00:02:12.500000,-3004.82632,-71383.52338,11792.57221,72413.40450
2024-01-10T00:02:13.500000,-3004.14594,-71379.83027,11788.09867,72409.00726
2024-01-10T00:02:14.500000,-3003.46315,-71376.13208,11783.61259,72404.60308
2024-01-10T00:02:15.500000,-3002.77796,-71372.42883,11779.11398,72400.19198
2024-01-10T00:02:16.500000,-3002.09037,-71368.72050,11774.60283,72395.77394
2024-01-10T00:02:17.500000,-3001.40039,-71365.00709,11770.07915,72391.34897
2024-01-10T00:02:18.500000,-3000.70803,-71361.28861,11765.54294,72386.91706
2024-01-10T00:02:19.500000,-3000.01329,-71357.56503,11760.99421,72382.47821
2024-01-10T00:02:20.500000,-2999.31619,-71353.83638,11756.43277,72378.03241
2024-01-10T00:02:21.500000,-2998.61673,-71350.10260,11751.85903,72373.57966
2024-01-10T00:02:22.500000,-2997.91490,-71346.36372,11747.27278,72369.11998
2024-01-10T00:02:23.500000,-2997.21070,-71342.61975,11742.67405,72364.65337
2024-01-10T00:02:24.500000,-2996.50412,-71338.87068,11738.06281,72360.17984
2024-01-10T00:02:25.500000,-2995.79518,-71335.11654,11733.43907,72355.69938
2024-01-10T00:02:26.500000,-2995.08386,-71331.35730,11728.80284,72351.21200
2024-01-10T00:02:27.500000,-2994.37018,-71327.59299,11724.15410,72346.71771
2024-01-10T00:02:28.500000,-2993.65412,-71323.82360,11719.49286,72342.21651
2024-01-10T00:02:29.500000,-2992.93571,-71320.04913,11714.81911,72337.70841
2024-01-10T00:02:30.500000,-2992.21491,-71316.26958,11710.13297,72333.19342
2024-01-10T00:02:31.500000,-2991.49173,-71312.48499,11705.43417,72328.67154
2024-01-10T00:02:32.500000,-2990.76620,-71308.69533,11700.72284,72324.14277
2024-01-10T00:02:33.500000,-2990.03835,-71304.90061,11695.99897,72319.60711
2024-01-10T00:02:34.500000,-2989.30817,-71301.10082,11691.26256,72315.06456
2024-01-10T00:02:35.500000,-2988.57569,-71297.29596,11686.51362,72310.51512
2024-01-10T00:02:36.500000,-2987.84092,-71293.48603,11681.75214,72305.95879
2024-01-10T00:02:37.500000,-2987.10386,-71289.67103,11676.97812,72301.39558
2024-01-10T00:02:38.500000,-2986.36453,-71285.85096,11672.19155,72296.82549
2024-01-10T00:02:39.500000,-2985.62293,-71282.02581,11667.39245,72292.24851
2024-01-10T00:02:40.500000,-2984.87912,-71278.19559,11662.58073,72287.66464
2024-01-10T00:02:41.500000,-2984.13308,-71274.36028,11657.75656,72283.07389
2024-01-10T00:02:42.500000,-2983.38480,-71270.51988,11652.91986,72278.47626
2024-01-10T00:02:43.500000,-2982.63428,-71266.67440,11648.07062,72273.87174
2024-01-10T00:02:44.500000,-2981.88150,-71262.82384,11643.20884,72269.26035
2024-01-10T00:02:45.500000,-2981.12649,-71258.96819,11638.33453,72264.64207
2024-01-10T00:02:46.500000,-2980.36922,-71255.10746,11633.44768,72260.01692
