utc_time,sat,constellation,jump_m,jump_cycles,dt_s
2026-06-24 06:45:23,G03,G,0.194,1.02,1
2026-06-24 06:45:24,G03,G,2.657,13.96,1
2026-06-24 06:45:25,G03,G,-0.188,-0.99,1
2026-06-24 06:45:26,G07,G,17.414,91.51,7
2026-06-24 06:50:31,C09,C,0.181,0.94,1
2026-06-24 06:50:31,C13,C,-0.153,-0.80,1
2026-06-24 06:50:31,C14,C,0.126,0.66,1
2026-06-24 06:50:31,C21,C,0.356,1.85,1
2026-06-24 06:50:31,C23,C,0.500,2.60,1
2026-06-24 06:50:31,C27,C,-0.519,-2.70,1
2026-06-24 06:50:31,C28,C,-0.382,-1.99,1
2026-06-24 06:50:31,C33,C,-0.638,-3.32,1
2026-06-24 06:50:31,C34,C,0.436,2.27,1
2026-06-24 06:50:31,C37,C,0.129,0.67,1
2026-06-24 06:50:31,C38,C,0.082,0.43,1
2026-06-24 06:50:31,C42,C,-0.143,-0.75,1
2026-06-24 06:50:31,E07,E,-0.491,-2.58,1
2026-06-24 06:50:31,E08,E,-0.219,-1.15,1
2026-06-24 06:50:31,E13,E,0.385,2.03,1
2026-06-24 06:50:31,E21,E,0.533,2.80,1
2026-06-24 06:50:31,E23,E,0.138,0.73,1
2026-06-24 06:50:31,E31,E,-0.368,-1.93,1
2026-06-24 06:50:31,E33,E,-0.342,-1.80,1
2026-06-24 06:50:31,G01,G,-0.440,-2.31,1
2026-06-24 06:50:31,G02,G,-0.131,-0.69,1
2026-06-24 06:50:31,G03,G,-0.785,-4.13,1
2026-06-24 06:50:31,G10,G,0.407,2.14,1
2026-06-24 06:50:31,G16,G,0.692,3.64,1
2026-06-24 06:50:31,G23,G,0.630,3.31,1
2026-06-24 06:50:31,G27,G,0.396,2.08,1
2026-06-24 06:50:31,G32,G,-0.411,-2.16,1
2026-06-24 06:59:47,G23,G,0.097,0.51,1
2026-06-24 06:59:49,G23,G,-0.096,-0.50,1
2026-06-24 07:00:58,G23,G,0.098,0.52,1
2026-06-24 07:01:07,G23,G,-0.094,-0.49,1
2026-06-24 07:01:40,G23,G,0.095,0.50,1
2026-06-24 07:01:43,G23,G,-0.093,-0.49,1
2026-06-24 07:02:36,G23,G,0.091,0.48,1
2026-06-24 07:02:37,G23,G,-0.095,-0.50,1
2026-06-24 07:02:52,G23,G,0.101,0.53,1
2026-06-24 07:02:55,G23,G,-0.092,-0.48,1
